"id_calc","user_id","well_name","field_name","company","engineer","date_calc","id_instrument","id_calc_method","id_welltype","id_measurement","comment_or_info","top_perfo_tvd","top_perfo_md","bottom_perfo_tvd","bottom_perfo_md","qtest","sbhp","fbhp","producing_gor","wc","bht","sgw","sgg","qdes","psd","whp","psd_md","p_casing","pb","api","sgo","id_casing_size","id_tubing_size","id_tubing_id","id_tubing_coeff","liner_id","top_liner_at","bottom_liner_at"
1,1,"xxx","yyy","AAA","Name",2024-05-30,1,2,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,5,2,0,0,0
2,2,"xx2","yy2","AA1","Name1",2024-05-30,2,1,1,1,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,5,2,0,0,0
3,3,"xx3","yy3","AA2","Name2",2024-05-30,1,1,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,5,2,0,0,0
4,4,"xx4","yy4","AA3","Name3",2024-05-30,1,3,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,5,2,0,0,0
5,5,"xxx","yy5","AA4","Name4",2024-05-30,1,4,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,5,2,0,0,0
6,2,"xx6","yy6","AA5","Name5",2024-05-30,1,5,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,5,2,0,0,0
7,3,"xx7","yy7","AA6","Name6",2024-05-30,1,6,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,5,2,0,0,0
8,4,"xx8","yy8","AA7","Name7",2024-05-30,1,7,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,5,2,0,0,0
9,5,"xx9","yy9","AA8","Name8",2024-05-30,1,8,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,5,2,0,0,0
10,1,"xx6","yyy","AAA","Name",2024-05-30,1,9,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,5,2,0,0,0
11,2,"xx11","yy2","AA1","Name1",2024-05-30,2,10,1,1,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,5,2,0,0,0
12,3,"xx12","yy3","AA2","Name2",2024-05-30,1,11,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,5,2,0,0,0
13,4,"xx13","yy4","AA3","Name3",2024-05-30,1,12,2,2,"Data file xls",6552,6652,6558,6658,1200,1914,1436,1650,88,257,1.02,0.7,2350,5950,150,6150,0,0,28,0.88,1,2,5,2,0,0,0
